system:index,B11,B12,B2,B3,B4,B8,class,.geo
0_0,1658,676,226,345,204,3240,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,892,354,220,315,166,2568,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,1798,669,265,448,208,4816,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,1624,659,228,300,167,3240,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,1715,631,255,385,172,4112,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,1657,633,234,361,176,3632,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,2106,904,244,435,204,4760,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,1680,733,250,431,233,3548,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,1460,564,244,342,178,3046,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,1813,773,293,439,272,3472,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,856,340,219,324,166,2438,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,1868,781,257,402,221,3136,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0,1662,700,261,377,196,3032,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,1645,673,209,330,188,3144,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,1807,717,226,400,195,3984,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0,2009,810,269,408,210,4208,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0,1656,636,239,369,198,3564,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0,1814,774,276,393,222,3772,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_0,1959,810,328,452,267,3884,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_0,1794,764,261,376,214,3296,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0,1804,749,259,434,213,3844,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_0,1906,772,316,468,265,4076,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_0,1428,577,202,304,168,2898,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_0,2010,820,264,417,224,3916,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
28_0,1946,884,350,540,293,3948,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
29_0,1907,798,268,380,202,3376,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
30_0,2121,904,270,463,236,4028,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
31_0,1846,773,288,487,236,3528,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
40_0,1831,779,240,446,220,3232,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
41_0,1736,655,200,322,166,3936,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
42_0,1637,666,235,286,171,3224,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
43_0,1976,800,276,484,247,4332,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
46_0,2148,887,300,444,238,4440,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
