system:index,B11,B12,B2,B3,B4,B8,class,.geo
0_0,1703.0,686.0,231.0,364.0,201.5,3376.5,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,958.5,373.5,232.5,329.5,170.5,2512.0,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,1876.5,715.0,272.0,478.0,211.5,4872.0,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,1673.0,672.0,201.5,311.5,165.5,3232.0,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,1722.5,641.5,240.5,409.5,173.0,4250.0,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,1674.0,640.5,233.0,376.0,171.5,3726.5,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,2171.0,956.0,261.0,469.0,222.0,4698.0,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,1812.0,785.0,270.5,438.0,228.5,3584.0,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,1556.5,621.0,244.0,343.5,191.0,3178.5,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,1940.0,801.0,294.0,463.0,271.5,3770.0,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,894.5,351.5,221.0,337.5,166.5,2332.0,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,1977.5,839.0,268.5,446.0,227.5,3446.0,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0,1748.0,727.0,260.5,375.5,194.5,3211.5,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,1713.5,686.5,207.5,329.5,186.5,3220.5,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,1894.0,736.5,232.5,423.5,192.5,4070.5,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0,2120.0,857.0,267.0,421.0,207.5,4315.5,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0,1736.5,676.5,240.0,367.0,197.5,3648.0,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0,1573.0,652.0,276.0,418.0,201.0,4141.0,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0,1550.0,607.0,215.0,304.0,166.0,3006.0,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0,2020.0,866.0,268.0,454.0,229.0,4072.0,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0,1887.5,798.5,277.0,399.5,218.5,3812.0,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_0,1990.5,828.5,344.0,462.5,277.5,3773.0,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_0,1843.5,772.0,266.0,399.5,225.5,3520.0,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0,1876.5,779.5,231.0,386.5,190.5,3520.5,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_0,1946.0,772.0,255.0,402.0,207.0,3801.0,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_0,1965.0,798.5,313.5,476.0,262.5,4144.5,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_0,1487.0,601.0,213.0,282.0,168.5,2598.0,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_0,2015.0,860.5,304.0,434.0,227.0,3934.0,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
28_0,2050.5,918.5,323.5,472.5,266.5,3232.0,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
29_0,1930.0,815.5,259.5,372.5,200.0,3408.0,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
30_0,2193.5,937.0,274.0,435.5,227.0,4074.0,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
31_0,1900.0,802.5,270.5,455.0,232.5,3558.0,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
32_0,2025.0,855.0,308.0,468.0,247.0,3712.0,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
33_0,1971.0,802.0,321.0,448.0,247.0,3672.0,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
34_0,2009.0,844.0,249.0,403.0,217.0,3877.0,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_0,1780.0,708.0,208.0,362.0,187.0,3364.0,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_0,2009.0,883.0,316.0,498.0,289.0,3628.0,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_0,2308.0,1039.0,302.0,561.0,270.0,4384.0,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
38_0,1985.0,817.0,304.0,464.0,239.0,4124.0,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
39_0,2032.0,826.0,310.0,470.0,243.0,4056.0,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
40_0,1889.5,799.5,255.0,452.5,233.5,3270.0,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
41_0,1767.5,676.0,218.5,344.5,177.0,3938.0,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
42_0,1725.5,685.0,239.5,313.0,165.0,3055.5,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
43_0,2032.5,823.5,280.5,440.5,220.0,4129.5,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
44_0,1881.0,752.0,240.0,400.0,206.0,3919.0,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
45_0,1795.0,719.0,228.0,352.0,193.0,3336.0,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
