system:index,B11,B12,B2,B3,B4,B8,NDBI,NDVI,NDWI,class,.geo
0_0,0.1703,0.0686,0.0231,0.0364,0.02015,0.33765,-0.33973965,0.8888732,-0.81005514,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,0.09585,0.03735,0.02325,0.03295,0.01705,0.2512,-0.45161957,0.8751945,-0.76825166,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,0.18765,0.0715,0.0272,0.0478,0.02115,0.4872,-0.45452622,0.9186603,-0.8266628,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,0.1673,0.0672,0.02015,0.03115,0.01655,0.3232,-0.32406887,0.9032361,-0.8312218,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,0.172,0.0641,0.02385,0.04015,0.01715,0.4228,-0.4234254,0.92253023,-0.830743,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,0.1674,0.06405,0.0233,0.0376,0.01715,0.37265,-0.38320053,0.9116454,-0.82154405,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,0.2171,0.0956,0.0261,0.0469,0.0222,0.4698,-0.37749827,0.9131656,-0.82166946,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,0.17855,0.07835,0.02545,0.04345,0.0226,0.3576,-0.34222984,0.8803359,-0.7847357,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,0.15495,0.0619,0.0239,0.0342,0.0179,0.31665,-0.35550073,0.89208275,-0.80567086,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,0.194,0.0801,0.0294,0.0463,0.02715,0.37699997,-0.31996095,0.8599436,-0.77823305,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,0.08945,0.03515,0.0221,0.03375,0.01665,0.2332,-0.4372597,0.8664773,-0.7457688,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,0.19775,0.0839,0.02685,0.0446,0.02275,0.34460002,-0.28379276,0.87580866,-0.7752312,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0,0.174,0.07255,0.0255,0.0372,0.01925,0.31980002,-0.29550964,0.8834836,-0.7881553,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,0.1711,0.0682,0.02055,0.03285,0.01845,0.32099998,-0.31578428,0.8896028,-0.81581044,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
